,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,CHACARITA,-34.588064710563,-58.4526819611767,Sede Central de Whisky,-34.58675,-58.450596,Whisky Bar
1,CHACARITA,-34.588064710563,-58.4526819611767,El Imperio de la Pizza,-34.58689,-58.454967,Pizza Place
2,CHACARITA,-34.588064710563,-58.4526819611767,Santos 4040,-34.58882175927474,-58.449863144987596,Theater
3,CHACARITA,-34.588064710563,-58.4526819611767,Donnet,-34.588333,-58.450745,Vegetarian / Vegan Restaurant
4,CHACARITA,-34.588064710563,-58.4526819611767,Albamonte Ristorante,-34.58780313871125,-58.45307528972626,Argentinian Restaurant
5,CHACARITA,-34.588064710563,-58.4526819611767,Fábrica de Churros Olleros,-34.586982571813174,-58.45364041688449,Bakery
6,CHACARITA,-34.588064710563,-58.4526819611767,Roll'in Luí Alimentos,-34.584607935688084,-58.44949522155735,Vegetarian / Vegan Restaurant
7,CHACARITA,-34.588064710563,-58.4526819611767,Elote,-34.585587,-58.449929,Venezuelan Restaurant
8,CHACARITA,-34.588064710563,-58.4526819611767,Bar Palacio (Museo Fotográfico Simik),-34.5844245452703,-58.45350078580689,Café
9,CHACARITA,-34.588064710563,-58.4526819611767,Charlone 101,-34.584695,-58.447002,Restaurant
10,CHACARITA,-34.588064710563,-58.4526819611767,Anchoita,-34.58959525228549,-58.44562679529189,Tapas Restaurant
11,CHACARITA,-34.588064710563,-58.4526819611767,Funes Birreria,-34.583389685099654,-58.4514284772889,Brewery
12,CHACARITA,-34.588064710563,-58.4526819611767,Lekeitio Bodegón Vasco,-34.58880977229412,-58.450204714556975,Spanish Restaurant
13,CHACARITA,-34.588064710563,-58.4526819611767,Pizzería Santa María,-34.587237630096844,-58.45400534570217,Pizza Place
14,CHACARITA,-34.588064710563,-58.4526819611767,Almacén Comunal,-34.58687268086234,-58.45034631058062,Beer Bar
15,CHACARITA,-34.588064710563,-58.4526819611767,Dance And Move,-34.584492664151234,-58.44947858116521,Dance Studio
16,CHACARITA,-34.588064710563,-58.4526819611767,Don Cosme,-34.582664,-58.448917,Deli / Bodega
17,CHACARITA,-34.588064710563,-58.4526819611767,Megaphoto,-34.58250073946665,-58.44875602573868,Photography Lab
18,CHACARITA,-34.588064710563,-58.4526819611767,El Galpón de Guevara,-34.58734350437123,-58.44936615957711,Indie Theater
19,CHACARITA,-34.588064710563,-58.4526819611767,Sandwicherias NuestraMiga,-34.58480155290135,-58.45371077094156,Sandwich Place
20,CHACARITA,-34.588064710563,-58.4526819611767,Espacio Cultural Carlos Gardel,-34.58254133849326,-58.45088141577502,Cultural Center
21,CHACARITA,-34.588064710563,-58.4526819611767,Gambrinus,-34.58307578005073,-58.452669410636325,German Restaurant
22,CHACARITA,-34.588064710563,-58.4526819611767,Pau Pei,-34.58959505280599,-58.445064270477246,Café
23,CHACARITA,-34.588064710563,-58.4526819611767,Ajo Negro - Bar de Tapas,-34.58304,-58.447973,Bar
24,CHACARITA,-34.588064710563,-58.4526819611767,Garbarino,-34.586036680739824,-58.45221380179886,Office
